"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C01","Value of Exports","2021","2021","-","All sectors","99","Unknown","Euro Million","3682"
"TSA11C01","Value of Exports","2021","2021","-","All sectors","-","All Enterprises","Euro Million","161174"
"TSA11C01","Value of Exports","2022","2022","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","604"
"TSA11C01","Value of Exports","2022","2022","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","1091"
"TSA11C01","Value of Exports","2022","2022","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","2251"
"TSA11C01","Value of Exports","2022","2022","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","14551"
"TSA11C01","Value of Exports","2022","2022","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","18498"
"TSA11C01","Value of Exports","2022","2022","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","811"
"TSA11C01","Value of Exports","2022","2022","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","927"
"TSA11C01","Value of Exports","2022","2022","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","4070"
"TSA11C01","Value of Exports","2022","2022","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","106215"
"TSA11C01","Value of Exports","2022","2022","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","112023"
"TSA11C01","Value of Exports","2022","2022","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","1164"
"TSA11C01","Value of Exports","2022","2022","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1783"
"TSA11C01","Value of Exports","2022","2022","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","6783"
"TSA11C01","Value of Exports","2022","2022","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","35053"
"TSA11C01","Value of Exports","2022","2022","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","44783"
"TSA11C01","Value of Exports","2022","2022","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","4069"
"TSA11C01","Value of Exports","2022","2022","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","3751"
"TSA11C01","Value of Exports","2022","2022","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","3129"
"TSA11C01","Value of Exports","2022","2022","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","3807"
